customer_id,gender,senior_citizen,partner,dependents,tenure_months,phone_service,multiple_lines,internet_service,online_security,online_backup,device_protection,tech_support,streaming_tv,streaming_movies,contract_type,paperless_billing,payment_method,monthly_charges,total_charges,churn,churn_flag,tenure_band,tenure_sort_index
C00029,Male,0,No,No,13,Yes,No,Fiber optic,Yes,No,No,No,Yes,Yes,Month-to-month,No,Mailed check,59.03,767.48,Yes,1,13-24,3
C00030,Male,0,No,No,29,Yes,No,Fiber optic,Yes,No,No,Yes,No,Yes,Two year,No,Bank transfer,50.75,1473.24,No,0,25-48,4
C00031,Male,0,Yes,No,21,Yes,No,DSL,No,No,No,No,No,Yes,Two year,No,Bank transfer,31.37,619.88,No,0,13-24,3
C00032,Female,0,Yes,No,40,Yes,No,Fiber optic,Yes,Yes,No,No,No,Yes,One year,Yes,Mailed check,60.23,2572.95,No,0,25-48,4
C00033,Male,0,No,No,11,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Electronic check,27.14,320.81,No,0,7-12,2
C00034,Male,0,No,No,7,Yes,No,DSL,Yes,Yes,No,No,Yes,No,Month-to-month,Yes,Electronic check,39.58,259.73,No,0,7-12,2
C00035,Male,0,No,Yes,24,Yes,No,Fiber optic,No,No,No,Yes,No,No,One year,No,Electronic check,58.35,1372.21,No,0,13-24,3
C00036,Male,0,Yes,No,7,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,No,Bank transfer,54.56,396.95,Yes,1,7-12,2
C00037,Female,1,Yes,No,21,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,69.64,1418.06,No,0,13-24,3
C00038,Female,1,Yes,No,20,Yes,No,Fiber optic,Yes,Yes,Yes,Yes,No,No,Two year,No,Bank transfer,54.13,999.66,No,0,13-24,3
C00039,Female,1,No,No,38,Yes,No,DSL,No,Yes,Yes,Yes,No,No,One year,No,Electronic check,38.78,1430.73,No,0,25-48,4
C00040,Male,0,Yes,Yes,34,Yes,No,Fiber optic,Yes,No,No,Yes,No,Yes,Month-to-month,No,Credit card,75.07,2450.03,Yes,1,25-48,4
C00041,Male,1,Yes,No,10,Yes,No,DSL,No,No,No,Yes,No,No,Two year,No,Credit card,39.31,419.82,No,0,7-12,2
C00042,Male,0,No,No,10,Yes,No,DSL,Yes,No,No,Yes,Yes,No,Two year,No,Electronic check,39.32,402.16,Yes,1,7-12,2
C00043,Female,0,No,Yes,31,Yes,Yes,Fiber optic,No,Yes,No,No,No,No,Two year,No,Electronic check,48.17,1465.82,No,0,25-48,4
C00044,Male,1,No,No,5,Yes,No,DSL,No,No,No,Yes,No,Yes,One year,Yes,Bank transfer,46.64,228.26,Yes,1,0-6,1
C00045,Male,0,Yes,Yes,11,Yes,Yes,DSL,No,No,No,No,Yes,Yes,Month-to-month,No,Electronic check,44.5,522.11,Yes,1,7-12,2
C00046,Female,0,No,Yes,72,Yes,No,DSL,No,Yes,No,No,No,No,Month-to-month,Yes,Credit card,42.14,3049.97,Yes,1,49-72,5
C00047,Male,0,No,No,10,Yes,No,DSL,Yes,No,Yes,Yes,No,Yes,Two year,Yes,Credit card,37.05,377.28,No,0,7-12,2
C00048,Female,1,Yes,No,6,Yes,No,Fiber optic,Yes,No,No,No,Yes,No,One year,No,Mailed check,55.14,346.77,No,0,0-6,1
C00049,Female,0,Yes,No,11,Yes,No,DSL,No,No,Yes,Yes,Yes,No,Month-to-month,Yes,Electronic check,31.92,328.37,Yes,1,7-12,2
C00050,Female,0,Yes,No,2,Yes,No,Fiber optic,No,No,No,Yes,Yes,Yes,One year,No,Mailed check,61.36,128.6,Yes,1,0-6,1
C00051,Male,0,No,Yes,41,Yes,Yes,Fiber optic,Yes,No,Yes,Yes,Yes,No,Two year,Yes,Mailed check,68.38,2874.39,No,0,25-48,4
C00052,Female,0,No,No,56,Yes,No,DSL,No,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,39.17,2112.99,Yes,1,49-72,5
C00053,Female,1,Yes,No,36,Yes,No,DSL,Yes,Yes,No,No,No,No,Two year,No,Mailed check,32.71,1155.58,No,0,25-48,4
C00054,Male,0,No,Yes,32,Yes,Yes,Fiber optic,Yes,Yes,No,No,Yes,No,Month-to-month,Yes,Electronic check,61.06,2106.05,No,0,25-48,4
C00055,Female,1,Yes,No,72,Yes,No,Fiber optic,No,Yes,No,Yes,No,No,Month-to-month,No,Electronic check,50.98,3722.39,Yes,1,49-72,5
C00056,Male,0,No,Yes,6,Yes,No,Fiber optic,Yes,No,No,No,No,No,Two year,Yes,Credit card,52.99,315.01,No,0,0-6,1
C00057,Male,0,No,No,29,Yes,Yes,Fiber optic,No,Yes,No,No,No,Yes,Two year,Yes,Mailed check,63.3,1720.1,Yes,1,25-48,4
C00058,Male,0,Yes,No,40,Yes,No,DSL,No,No,Yes,No,Yes,No,Month-to-month,No,Mailed check,37.1,1549.72,No,0,25-48,4
C00059,Male,0,Yes,No,22,Yes,No,Fiber optic,Yes,No,No,Yes,No,No,Month-to-month,No,Mailed check,65.15,1457.59,Yes,1,13-24,3
C00060,Male,0,No,No,16,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Bank transfer,24.58,410.4,No,0,13-24,3
C00061,Male,1,Yes,No,15,Yes,No,DSL,No,Yes,No,Yes,Yes,Yes,One year,No,Mailed check,37.51,584.72,No,0,13-24,3
C00062,Male,1,Yes,Yes,7,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Credit card,24.21,175.16,Yes,1,7-12,2
C00063,Female,1,No,No,11,Yes,No,Fiber optic,Yes,No,No,Yes,No,No,Two year,Yes,Electronic check,60.34,686.0,Yes,1,7-12,2
C00064,Male,0,No,Yes,11,Yes,No,Fiber optic,Yes,No,No,Yes,No,No,Month-to-month,Yes,Bank transfer,63.14,709.7,Yes,1,7-12,2
C00065,Female,0,No,No,21,Yes,Yes,Fiber optic,Yes,No,No,No,Yes,Yes,Month-to-month,No,Electronic check,66.34,1426.4,Yes,1,13-24,3
C00066,Female,0,No,No,35,Yes,No,Fiber optic,Yes,No,No,Yes,No,Yes,Month-to-month,No,Electronic check,71.38,2352.04,Yes,1,25-48,4
C00067,Female,0,No,No,35,No,No phone service,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Credit card,19.57,674.95,No,0,25-48,4
C00068,Female,0,Yes,No,19,Yes,No,Fiber optic,Yes,No,Yes,Yes,Yes,No,One year,Yes,Credit card,70.69,1284.14,No,0,13-24,3
C00069,Male,0,No,No,22,No,No phone service,DSL,No,No,Yes,Yes,No,No,Month-to-month,Yes,Credit card,33.1,761.69,Yes,1,13-24,3
C00070,Male,0,No,Yes,72,Yes,No,DSL,No,Yes,No,No,No,No,Two year,Yes,Electronic check,45.17,3453.31,No,0,49-72,5
C00071,Female,0,No,No,14,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,No,Two year,Yes,Bank transfer,56.74,793.62,Yes,1,13-24,3
C00072,Male,0,Yes,No,36,Yes,No,DSL,No,Yes,No,Yes,Yes,No,Two year,Yes,Bank transfer,40.27,1373.87,No,0,25-48,4
C00073,Female,1,Yes,No,3,Yes,Yes,DSL,No,No,No,No,Yes,No,Two year,No,Bank transfer,44.82,127.01,Yes,1,0-6,1
C00074,Female,0,Yes,No,18,Yes,No,Fiber optic,Yes,Yes,No,Yes,No,No,Month-to-month,Yes,Electronic check,63.17,1102.67,No,0,13-24,3
C00075,Female,0,Yes,No,30,Yes,No,Fiber optic,No,No,Yes,No,No,No,Month-to-month,No,Electronic check,64.95,1956.32,Yes,1,25-48,4
C00076,Male,0,Yes,Yes,72,Yes,No,Fiber optic,No,No,Yes,No,No,No,Month-to-month,Yes,Credit card,56.56,4391.8,Yes,1,49-72,5
C00077,Female,0,No,No,69,Yes,No,DSL,No,Yes,Yes,No,Yes,No,Month-to-month,Yes,Electronic check,39.29,2697.71,Yes,1,49-72,5
C00078,Female,0,No,Yes,38,Yes,Yes,Fiber optic,Yes,Yes,No,No,No,No,One year,Yes,Bank transfer,64.19,2435.39,No,0,25-48,4
C00079,Male,1,No,No,5,Yes,No,DSL,Yes,No,No,No,No,No,One year,Yes,Electronic check,39.24,200.88,No,0,0-6,1
C00080,Female,1,No,Yes,11,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,No,Two year,Yes,Electronic check,64.31,746.4,No,0,7-12,2
C00081,Male,0,No,No,26,Yes,No,DSL,Yes,No,Yes,Yes,No,No,Month-to-month,No,Bank transfer,34.23,939.86,No,0,25-48,4
C00082,Male,0,No,Yes,13,Yes,No,DSL,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Bank transfer,39.67,526.51,Yes,1,13-24,3
C00083,Female,0,Yes,No,24,Yes,No,DSL,Yes,No,No,Yes,No,No,Month-to-month,Yes,Electronic check,40.74,947.65,Yes,1,13-24,3
C00084,Male,0,Yes,No,13,Yes,Yes,DSL,No,No,Yes,No,No,No,Month-to-month,Yes,Bank transfer,30.73,407.18,No,0,13-24,3
C00085,Male,0,Yes,No,22,Yes,No,Fiber optic,Yes,No,Yes,No,No,Yes,Month-to-month,Yes,Credit card,64.57,1473.36,No,0,13-24,3
C00086,Male,0,No,No,33,Yes,No,Fiber optic,No,No,Yes,No,No,No,Month-to-month,Yes,Electronic check,52.74,1612.59,Yes,1,25-48,4
C00087,Male,0,No,No,33,Yes,Yes,DSL,Yes,No,Yes,No,Yes,No,Month-to-month,Yes,Electronic check,40.58,1402.07,Yes,1,25-48,4
C00088,Female,0,Yes,No,40,Yes,No,Fiber optic,No,No,Yes,No,Yes,Yes,One year,No,Credit card,63.24,2478.08,Yes,1,25-48,4
C00089,Female,0,No,No,7,Yes,No,Fiber optic,No,Yes,No,No,No,No,Month-to-month,No,Credit card,56.97,414.07,Yes,1,7-12,2
C00090,Female,0,No,Yes,69,Yes,No,Fiber optic,No,Yes,No,Yes,Yes,No,Month-to-month,No,Bank transfer,61.16,4229.92,Yes,1,49-72,5
C00091,Male,0,Yes,No,20,No,No phone service,DSL,No,No,No,No,No,No,Month-to-month,No,Credit card,24.8,524.0,No,0,13-24,3
C00092,Male,0,No,Yes,4,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,24.57,104.36,Yes,1,0-6,1
C00093,Female,0,Yes,Yes,7,Yes,No,Fiber optic,No,No,No,Yes,Yes,No,Month-to-month,No,Mailed check,71.26,482.57,Yes,1,7-12,2
C00094,Female,0,No,Yes,5,Yes,No,Fiber optic,Yes,Yes,No,No,No,Yes,Two year,No,Bank transfer,59.05,295.1,No,0,0-6,1
C00095,Male,1,No,No,41,Yes,No,Fiber optic,No,Yes,No,Yes,No,No,Month-to-month,Yes,Electronic check,56.65,2372.65,Yes,1,25-48,4
C00096,Female,0,No,Yes,27,Yes,No,Fiber optic,No,No,No,No,No,Yes,Month-to-month,No,Electronic check,59.29,1702.51,Yes,1,25-48,4
C00097,Male,0,Yes,No,18,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer,29.92,551.78,No,0,13-24,3
C00098,Female,0,No,No,35,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Bank transfer,27.93,987.17,No,0,25-48,4
C00099,Female,0,No,Yes,42,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Bank transfer,23.39,1031.84,No,0,25-48,4
C00100,Male,0,Yes,Yes,47,Yes,No,Fiber optic,Yes,No,Yes,Yes,No,No,Month-to-month,Yes,Credit card,58.71,2960.41,Yes,1,25-48,4
C00101,Female,1,No,Yes,2,Yes,No,Fiber optic,No,Yes,No,Yes,No,Yes,Month-to-month,No,Mailed check,57.09,109.54,Yes,1,0-6,1
C00102,Female,0,No,No,57,Yes,Yes,Fiber optic,Yes,No,No,Yes,No,No,One year,No,Bank transfer,55.85,3124.62,No,0,49-72,5
C00103,Male,0,Yes,No,41,Yes,Yes,Fiber optic,Yes,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,64.24,2423.83,No,0,25-48,4
C00104,Female,1,No,No,23,Yes,No phone service,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,18.18,413.55,No,0,13-24,3
C00105,Male,0,No,No,58,Yes,Yes,Fiber optic,No,No,No,Yes,Yes,Yes,Month-to-month,No,Electronic check,53.52,3195.18,Yes,1,49-72,5
C00106,Male,0,No,No,10,Yes,No,Fiber optic,Yes,No,Yes,No,No,Yes,One year,Yes,Electronic check,63.24,597.03,Yes,1,7-12,2
C00107,Male,0,No,No,31,Yes,No,DSL,Yes,Yes,No,Yes,No,Yes,Month-to-month,No,Bank transfer,42.04,1222.05,No,0,25-48,4
C00108,Female,0,No,No,11,Yes,No,Fiber optic,Yes,Yes,No,No,No,No,One year,Yes,Mailed check,61.5,714.75,Yes,1,7-12,2
C00109,Male,0,No,No,13,Yes,Yes,Fiber optic,Yes,Yes,No,No,No,No,One year,No,Electronic check,59.5,767.86,No,0,13-24,3
C00110,Male,0,No,No,13,Yes,No,DSL,Yes,Yes,Yes,No,No,Yes,Month-to-month,Yes,Bank transfer,41.2,544.23,Yes,1,13-24,3
C00111,Male,0,Yes,No,43,Yes,Yes,Fiber optic,No,No,No,No,No,No,Two year,Yes,Credit card,52.08,2067.1,No,0,25-48,4
C00112,Female,0,No,No,72,Yes,No,Fiber optic,Yes,No,No,No,Yes,Yes,Month-to-month,No,Bank transfer,62.28,4551.48,Yes,1,49-72,5
C00113,Female,0,No,Yes,36,Yes,No,Fiber optic,Yes,No,No,Yes,Yes,No,Month-to-month,No,Credit card,54.49,1805.97,No,0,25-48,4
C00114,Female,0,Yes,Yes,28,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,26.22,738.41,Yes,1,25-48,4
C00115,Female,1,Yes,No,9,Yes,Yes,DSL,No,No,No,Yes,Yes,No,Month-to-month,Yes,Bank transfer,39.96,378.99,Yes,1,7-12,2
C00116,Male,0,No,No,54,Yes,Yes,DSL,No,Yes,No,Yes,No,No,Month-to-month,Yes,Mailed check,33.77,1839.2,No,0,49-72,5
C00117,Female,0,No,Yes,57,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Credit card,54.78,3082.13,Yes,1,49-72,5
C00118,Female,0,Yes,No,33,Yes,No,Fiber optic,No,Yes,Yes,Yes,No,No,Month-to-month,Yes,Credit card,57.86,2028.42,No,0,25-48,4
C00119,Male,1,No,No,10,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,No,Two year,No,Bank transfer,68.19,721.07,Yes,1,7-12,2
C00120,Male,0,Yes,Yes,4,Yes,Yes,Fiber optic,No,No,Yes,Yes,No,No,Two year,Yes,Mailed check,61.15,245.27,No,0,0-6,1
C00121,Male,0,Yes,No,72,Yes,No,DSL,Yes,Yes,No,No,No,Yes,One year,Yes,Credit card,36.1,2751.23,Yes,1,49-72,5
C00122,Female,0,No,No,72,Yes,No,Fiber optic,No,Yes,No,No,No,Yes,Month-to-month,No,Credit card,70.53,4978.34,No,0,49-72,5
C00123,Female,0,No,Yes,36,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,No,Two year,Yes,Bank transfer,65.26,2315.21,No,0,25-48,4
C00124,Male,0,No,No,51,Yes,No,DSL,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,39.39,1890.32,Yes,1,49-72,5
C00125,Male,0,No,Yes,44,Yes,Yes,Fiber optic,Yes,No,Yes,Yes,No,No,Month-to-month,No,Electronic check,53.79,2462.76,Yes,1,25-48,4
C00126,Male,0,No,Yes,8,Yes,No,Fiber optic,Yes,Yes,No,Yes,No,Yes,Two year,No,Credit card,58.08,446.76,No,0,7-12,2
C00127,Male,0,Yes,Yes,29,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Bank transfer,18.0,501.32,No,0,25-48,4
C00128,Female,0,Yes,No,32,Yes,Yes,Fiber optic,No,Yes,No,No,No,No,Month-to-month,Yes,Bank transfer,55.44,1902.67,Yes,1,25-48,4
C00129,Male,0,No,No,20,Yes,No,DSL,Yes,No,No,Yes,No,No,Month-to-month,Yes,Bank transfer,29.48,600.61,Yes,1,13-24,3
C00130,Female,0,Yes,No,22,Yes,No,Fiber optic,Yes,No,Yes,No,Yes,No,Two year,No,Credit card,57.62,1315.33,No,0,13-24,3
C00131,Male,0,Yes,No,30,Yes,Yes,DSL,Yes,No,No,No,No,Yes,Month-to-month,Yes,Mailed check,45.94,1475.56,No,0,25-48,4
C00132,Male,1,No,No,29,Yes,Yes,Fiber optic,Yes,Yes,No,No,Yes,No,Month-to-month,Yes,Electronic check,57.24,1637.0,Yes,1,25-48,4
C00133,Female,0,No,No,59,Yes,No,DSL,No,No,Yes,Yes,No,Yes,Month-to-month,Yes,Mailed check,33.19,1967.88,Yes,1,49-72,5
C00134,Female,1,Yes,No,13,Yes,No,Fiber optic,No,No,No,No,No,No,Two year,Yes,Bank transfer,58.14,757.96,No,0,13-24,3
C00135,Female,0,No,No,23,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Credit card,26.03,642.01,No,0,13-24,3
C00136,Female,1,Yes,No,41,Yes,No,DSL,No,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,37.56,1424.17,No,0,25-48,4
C00137,Male,0,Yes,No,39,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,No,One year,Yes,Mailed check,62.45,2447.98,No,0,25-48,4
C00138,Female,0,No,No,38,Yes,No,Fiber optic,No,Yes,No,Yes,No,No,Two year,Yes,Electronic check,55.19,1946.26,No,0,25-48,4
C00139,Female,0,Yes,No,27,Yes,No phone service,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,34.08,982.55,No,0,25-48,4
C00140,Female,1,Yes,No,8,Yes,No,DSL,No,No,No,Yes,Yes,No,Two year,No,Electronic check,34.29,272.49,Yes,1,7-12,2
C00141,Male,0,Yes,Yes,32,Yes,Yes,Fiber optic,No,Yes,No,No,No,No,Month-to-month,No,Bank transfer,56.0,1856.85,Yes,1,25-48,4
C00142,Male,0,Yes,No,38,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,53.35,1922.61,No,0,25-48,4
C00143,Male,1,No,No,7,Yes,Yes,DSL,No,Yes,No,Yes,No,No,Month-to-month,Yes,Electronic check,36.49,261.97,No,0,7-12,2
C00144,Female,0,No,Yes,64,Yes,No,Fiber optic,Yes,Yes,No,No,No,Yes,Two year,No,Electronic check,62.76,4157.89,No,0,49-72,5
C00145,Female,0,No,Yes,26,Yes,No,DSL,No,No,No,No,No,No,Two year,Yes,Electronic check,35.93,925.22,Yes,1,25-48,4
C00146,Female,0,No,No,20,Yes,No,Fiber optic,Yes,No,No,No,No,Yes,Month-to-month,Yes,Mailed check,62.89,1222.89,No,0,13-24,3
C00147,Male,0,Yes,No,11,Yes,No,DSL,Yes,Yes,Yes,No,No,No,Month-to-month,No,Bank transfer,38.26,405.72,Yes,1,7-12,2
C00148,Male,0,No,No,34,Yes,Yes,Fiber optic,Yes,No,Yes,No,No,No,One year,Yes,Bank transfer,64.08,2248.92,No,0,25-48,4
C00149,Female,0,Yes,No,27,Yes,No,Fiber optic,Yes,No,Yes,No,No,No,Month-to-month,No,Electronic check,66.94,1778.37,Yes,1,25-48,4
C00150,Male,0,No,Yes,27,Yes,Yes,Fiber optic,No,No,No,No,Yes,No,Month-to-month,No,Mailed check,58.21,1681.29,Yes,1,25-48,4
C00151,Female,0,Yes,Yes,44,Yes,No,Fiber optic,No,No,Yes,No,No,No,Month-to-month,Yes,Mailed check,57.19,2413.37,No,0,25-48,4
C00152,Female,0,Yes,No,37,Yes,No,Fiber optic,No,Yes,No,No,No,No,One year,No,Electronic check,59.98,2312.5,Yes,1,25-48,4
C00153,Female,0,Yes,No,31,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,No,Bank transfer,61.59,1935.55,Yes,1,25-48,4
C00154,Female,0,No,No,58,Yes,No,Fiber optic,No,No,No,No,Yes,No,One year,No,Bank transfer,60.7,3428.29,No,0,49-72,5
C00155,Male,1,Yes,Yes,24,Yes,No,DSL,Yes,No,No,No,Yes,No,One year,No,Bank transfer,36.85,954.96,Yes,1,13-24,3
C00156,Male,0,No,Yes,68,Yes,Yes,Fiber optic,Yes,Yes,No,Yes,No,Yes,Two year,Yes,Electronic check,60.24,4286.87,No,0,49-72,5
C00157,Female,0,Yes,No,8,Yes,No,Fiber optic,No,Yes,Yes,No,No,No,Month-to-month,Yes,Mailed check,64.27,507.87,Yes,1,7-12,2
C00158,Male,0,Yes,Yes,31,Yes,No,DSL,Yes,No,Yes,Yes,No,Yes,Two year,No,Credit card,44.13,1279.43,No,0,25-48,4
C00159,Male,0,No,No,58,Yes,No,DSL,Yes,Yes,Yes,No,Yes,No,Month-to-month,Yes,Bank transfer,40.99,2442.95,No,0,49-72,5
C00160,Male,0,No,No,14,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Electronic check,30.2,439.63,No,0,13-24,3
C00161,Male,0,No,Yes,30,Yes,No,DSL,Yes,Yes,No,Yes,No,Yes,One year,No,Credit card,43.67,1237.47,Yes,1,25-48,4
C00162,Female,1,Yes,No,28,Yes,No,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Bank transfer,59.82,1550.3,No,0,25-48,4
C00163,Male,1,No,Yes,23,No,No phone service,Fiber optic,No,No,No,Yes,No,No,Month-to-month,Yes,Credit card,48.53,1123.14,Yes,1,13-24,3
C00164,Female,0,Yes,No,63,Yes,No,Fiber optic,No,No,No,No,Yes,Yes,One year,Yes,Credit card,61.19,3857.55,No,0,49-72,5
C00165,Female,0,No,No,3,Yes,No,Fiber optic,Yes,No,Yes,No,No,Yes,One year,Yes,Credit card,61.07,172.04,Yes,1,0-6,1
C00166,Male,0,No,No,54,Yes,Yes,Fiber optic,Yes,No,Yes,Yes,Yes,No,Month-to-month,No,Mailed check,65.81,3347.46,No,0,49-72,5
C00167,Female,0,Yes,No,28,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,No,Bank transfer,48.75,1297.8,No,0,25-48,4
C00168,Female,0,Yes,Yes,7,Yes,Yes,Fiber optic,Yes,No,Yes,No,No,No,Month-to-month,Yes,Credit card,56.7,417.76,Yes,1,7-12,2
